participant_id,group,image_id,image_order,judgment,is_correct,confidence,reasoning
0100d27c-5a7d-4bb3-8fb0-e1ae04add0c9,实验,ai_15,2,AI,True,3,背景质感不自然，偏向AI渲染
0100d27c-5a7d-4bb3-8fb0-e1ae04add0c9,实验,real_11,9,Real,True,1,耳朵细节渲染有误
0100d27c-5a7d-4bb3-8fb0-e1ae04add0c9,实验,real_04,10,Real,True,4,"整体感觉太""完美""，AI风格"
0100d27c-5a7d-4bb3-8fb0-e1ae04add0c9,实验,ai_08,11,Real,False,1,眼睛的反光不自然
0100d27c-5a7d-4bb3-8fb0-e1ae04add0c9,实验,ai_16,13,AI,True,2,搜索确认了拍摄地点
0100d27c-5a7d-4bb3-8fb0-e1ae04add0c9,实验,real_01,14,Real,True,3,颜色过渡异常均匀
0100d27c-5a7d-4bb3-8fb0-e1ae04add0c9,实验,real_12,19,Real,True,5,头发纹理有问题，太规整
0100d27c-5a7d-4bb3-8fb0-e1ae04add0c9,实验,real_03,20,Real,True,5,手指形状有点异常
022fc934-c148-426c-a1b4-0214e3df36b0,实验,ai_08,4,AI,True,3,风格过于完美和干净
022fc934-c148-426c-a1b4-0214e3df36b0,实验,real_11,6,Real,True,2,风格过于完美和干净
022fc934-c148-426c-a1b4-0214e3df36b0,实验,real_12,7,Real,True,4,搜索确认了拍摄地点
022fc934-c148-426c-a1b4-0214e3df36b0,实验,ai_02,9,AI,True,4,颜色过渡异常均匀
022fc934-c148-426c-a1b4-0214e3df36b0,实验,real_04,10,Real,True,3,眼睛的反光不自然
022fc934-c148-426c-a1b4-0214e3df36b0,实验,ai_13,12,Real,False,2,身体比例感觉不对
022fc934-c148-426c-a1b4-0214e3df36b0,实验,real_01,18,AI,False,2,光影太均匀，像AI生成
022fc934-c148-426c-a1b4-0214e3df36b0,实验,ai_01,20,Real,False,2,手指形状有点异常
022fc934-c148-426c-a1b4-0214e3df36b0,实验,real_03,21,Real,True,3,"整体感觉太""完美""，AI风格"
09e6cda9-42a6-4d6e-8cd0-044feb4f97a0,实验,ai_01,3,AI,True,5,脸部细节有些奇怪
09e6cda9-42a6-4d6e-8cd0-044feb4f97a0,实验,real_02,5,Real,True,4,搜索确认了拍摄地点
09e6cda9-42a6-4d6e-8cd0-044feb4f97a0,实验,real_16,11,Real,True,5,耳朵细节渲染有误
09e6cda9-42a6-4d6e-8cd0-044feb4f97a0,实验,real_12,13,Real,True,5,手指形状有点异常
09e6cda9-42a6-4d6e-8cd0-044feb4f97a0,实验,real_04,17,Real,True,3,眼睛的反光不自然
09e6cda9-42a6-4d6e-8cd0-044feb4f97a0,实验,real_06,18,Real,True,3,手指形状有点异常
09e6cda9-42a6-4d6e-8cd0-044feb4f97a0,实验,ai_19,20,Real,False,2,纹理不对，太光滑了
0d667e6c-ae9c-441e-b61a-5e454093bcd9,实验,real_06,1,AI,False,3,风格过于完美和干净
0d667e6c-ae9c-441e-b61a-5e454093bcd9,实验,real_12,3,Real,True,5,颜色过渡异常均匀
0d667e6c-ae9c-441e-b61a-5e454093bcd9,实验,real_20,6,AI,False,2,颜色过渡异常均匀
0d667e6c-ae9c-441e-b61a-5e454093bcd9,实验,ai_04,7,AI,True,3,纹理不对，太光滑了
0d667e6c-ae9c-441e-b61a-5e454093bcd9,实验,real_03,9,Real,True,5,耳朵细节渲染有误
0d667e6c-ae9c-441e-b61a-5e454093bcd9,实验,ai_13,10,Real,False,1,身体比例感觉不对
0d667e6c-ae9c-441e-b61a-5e454093bcd9,实验,real_01,13,AI,False,1,搜索确认了拍摄地点
0d667e6c-ae9c-441e-b61a-5e454093bcd9,实验,ai_01,14,AI,True,5,眼睛的反光不自然
0d667e6c-ae9c-441e-b61a-5e454093bcd9,实验,ai_09,16,AI,True,5,手指形状有点异常
0d667e6c-ae9c-441e-b61a-5e454093bcd9,实验,ai_02,18,AI,True,5,背景质感不自然，偏向AI渲染
0d667e6c-ae9c-441e-b61a-5e454093bcd9,实验,real_04,19,AI,False,3,脸部细节有些奇怪
0d667e6c-ae9c-441e-b61a-5e454093bcd9,实验,real_16,20,Real,True,3,身体比例感觉不对
10d8137d-a2b4-4482-9378-b1a9c51a5150,实验,ai_09,2,Real,False,1,背景质感不自然，偏向AI渲染
10d8137d-a2b4-4482-9378-b1a9c51a5150,实验,real_05,3,Real,True,5,搜索确认了拍摄地点
10d8137d-a2b4-4482-9378-b1a9c51a5150,实验,real_20,4,Real,True,5,背景质感不自然，偏向AI渲染
10d8137d-a2b4-4482-9378-b1a9c51a5150,实验,ai_02,7,Real,False,3,纹理不对，太光滑了
