participant_id,group,strategy_usage_degree,end_strategy
0c687978-2cd5-438a-a7b4-ea279c3036a6,实验,4.0,纹理差异，是否符合人体工学，谷歌搜图
3286160b-00fd-48c6-9740-100d93f928cf,实验,2.0,手指数量，画风
572cc315-3457-446d-9de2-5477fb08fd31,实验,3.0,主要是看感觉，第一印象，拿不准的再仔细看看
70d96c86-c17b-45aa-9c25-d845eecf5473,实验,5.0,搜索
8f0882ca-44f3-4b71-b6bc-2886af1a80d5,实验,3.0,感觉
93a06e6f-5a94-453a-bea6-f13a2dcecd93,实验,3.0,逻辑和人体结构学
9e2c9877-ed64-431b-9516-8e3c2f8baf07,实验,3.0,日常照片是真实照片
a56e4b61-832a-4945-bab5-456044fa33e4,实验,3.0,感觉
b9e3c9a5-5bca-4c4e-a203-d812f2c23a5e,实验,2.0,直觉，风格
d038fdf4-a659-4a48-8452-41259974b3ff,实验,4.0,AI生成的比较假
dc165136-ff71-4ab3-8e4b-5afe4edf0d1b,实验,5.0,使用Google搜索，还有常识
dcec668c-29d4-4db5-9198-c4ea1a30e1b3,实验,4.0,数手指，看整体，看构图
eb82f5c2-3642-40bb-969d-5651f118cdfa,实验,4.0,手部透视，手指数量
0279953e-4ca2-45e2-a4f3-39ffdffe0dd0,对照,,图片质感
054510ca-3eec-4fe6-8afa-226ab68b725c,对照,,凭感觉，图像的清晰度和真实度
35ad47e4-ed54-4633-8d71-a683a1f1117d,对照,,动画这些图像是AI生成
3eff7f85-aae3-4127-a9db-c3f876c6c9e9,对照,,绘画风格，手的形状
56dc546a-a002-4cab-a548-8d8c8a24ca70,对照,,背景细节 光影 是否特别标准
6a8ca942-3de8-4ff3-8227-ca9c1733a244,对照,,图层，合理性
72616102-b106-4168-a359-c28aeddf3d46,对照,,hmm
7a150c25-4f31-47a6-a712-dd5a1078ee15,对照,,图片逻辑  色彩
833b08c0-b7cf-4249-b2cb-a73bdd0b1f48,对照,,过往经验以及一种感觉，说不上来。我觉得AI生成图片有种不适合的感觉，很突兀，夸张，有一些地方处理随意。
871a04a1-d2e3-48a9-96dc-fdf93b7634bd,对照,,靠感觉
b4a0305b-b2de-4bc8-be9c-c9ca9b85f025,对照,,用像素
c8404013-34b4-433d-97d6-511b017b51c2,对照,,直觉
e0ec20b4-c1ce-4a49-b377-7ca102330663,对照,,图片的背景和人物是否融合
e65bf539-6dee-4810-b746-0dc326cff7dc,对照,,感觉
ff15d97a-a13c-4097-8220-1796eca4971f,对照,,肉眼
